hour,battery,curtailment,demand
5013,0.0,0.0,3209.464606
5014,0.0,0.0,3209.464606
5015,0.0,0.0,3209.464606
5016,0.0,0.0,3209.464606
5017,0.0,0.0,3209.464606
5018,0.0,0.0,3209.464606
5019,0.0,0.0,3209.464606
5020,0.0,0.0,3209.464606
5021,0.0,0.0,3209.464606
5022,0.0,0.0,3209.464606
5023,0.0,0.0,3209.464606
5024,0.0,1948.748934495386,3209.464606
5025,0.0,5143.761799130587,3209.464606
5026,0.0,6856.750624145847,3209.464606
5027,0.0,7722.868569378279,3209.464606
5028,0.0,7299.433129486868,3209.464606
5029,3079.4132231055028,3738.843270141124,3209.464606
5030,5663.4325662700485,0.0,3209.464606
5031,4450.86744294464,0.0,3209.464606
5032,2814.866879727819,0.0,3209.464606
5033,1140.3721856117804,0.0,3209.464606
5034,0.0,0.0,3209.464606
5035,0.0,0.0,3209.464606
5036,0.0,0.0,3209.464606
5037,0.0,0.0,3209.464606
5038,0.0,0.0,3209.464606
5039,0.0,0.0,3209.464606
5040,0.0,0.0,3209.464606
5041,0.0,0.0,3209.464606
5042,0.0,0.0,3209.464606
5043,0.0,0.0,3209.464606
5044,0.0,0.0,3209.464606
5045,0.0,0.0,3209.464606
5046,0.0,0.0,3209.464606
5047,0.0,0.0,3209.464606
5048,0.0,2795.61981427821,3209.464606
5049,0.0,6221.597464308727,3209.464606
5050,0.0,8723.715972757982,3209.464606
5051,0.0,10321.222405075581,3209.464606
5052,0.0,10109.504685129876,3209.464606
5053,2535.7000664316233,6649.945477116989,3209.464606
5054,6202.350398859118,0.0,3209.464606
5055,3931.196675805179,0.0,3209.464606
5056,2545.4079634332843,0.0,3209.464606
5057,1794.772410898508,0.0,3209.464606
5058,139.52478223207845,0.0,3209.464606
5059,0.0,0.0,3209.464606
5060,0.0,0.0,3209.464606
5061,0.0,0.0,3209.464606
5062,0.0,0.0,3209.464606
5063,0.0,0.0,3209.464606
5064,0.0,0.0,3209.464606
5065,0.0,0.0,3209.464606
5066,0.0,0.0,3209.464606
5067,0.0,0.0,3209.464606
5068,0.0,0.0,3209.464606
5069,0.0,0.0,3209.464606
5070,0.0,0.0,3209.464606
5071,0.0,0.0,3209.464606
5072,0.0,1429.0781673559245,3209.464606
5073,0.0,3411.5259086657184,3209.464606
5074,0.0,4835.808751936833,3209.464606
5075,0.0,6163.856267959898,3209.464606
5076,0.0,7280.186064037258,3209.464606
5077,0.0,7568.892045781404,3209.464606
5078,3714.566382942621,3815.8315319395624,3209.464606
5079,6356.326922455995,0.0,3209.464606
5080,4508.6086392934685,0.0,3209.464606
5081,2295.1961125883586,0.0,3209.464606
5082,274.2542403793459,0.0,3209.464606
5083,0.0,0.0,3209.464606
5084,0.0,0.0,3209.464606
5085,0.0,0.0,3209.464606
5086,0.0,0.0,3209.464606
5087,0.0,0.0,3209.464606
5088,0.0,0.0,3209.464606
5089,0.0,0.0,3209.464606
5090,0.0,0.0,2845.56713
5091,0.0,0.0,2845.56713
5092,0.0,0.0,2845.56713
5093,0.0,0.0,2845.56713
5094,0.0,0.0,2845.56713
5095,0.0,0.0,2845.56713
5096,0.0,2716.834784937188,2845.56713
5097,0.0,4968.741442541517,2845.56713
5098,0.0,6354.530154913411,2845.56713
5099,0.0,7509.354081889991,2845.56713
5100,0.0,7547.848212789211,2845.56713
5101,4934.318576438362,2228.588327358655,2845.56713
5102,5546.153406029807,0.0,2845.56713
5103,3659.9409919680616,0.0,2845.56713
5104,2004.693363301631,0.0,2845.56713
5105,1003.8459599219295,0.0,2845.56713
5106,0.0,0.0,2845.56713
5107,0.0,0.0,2845.56713
5108,0.0,0.0,2845.56713
5109,0.0,0.0,2845.56713
5110,0.0,0.0,2845.56713
5111,0.0,0.0,2845.56713
5112,0.0,0.0,2845.56713
5113,0.0,0.0,2845.56713
5114,0.0,0.0,2845.56713
5115,0.0,0.0,2845.56713
5116,0.0,0.0,2845.56713
5117,0.0,0.0,2845.56713
5118,0.0,0.0,2845.56713
5119,0.0,0.0,2845.56713
5120,0.0,1869.9639051543631,2845.56713
5121,0.0,4237.35295545635,2845.56713
5122,0.0,6065.824173169267,2845.56713
5123,0.0,8664.17800886657,2845.56713
5124,0.0,8279.236699874376,2845.56713
5125,0.0,7567.095278238819,2845.56713
5126,6758.718529355214,0.0,2845.56713
5127,4010.4594348571004,1439.4586439246582,2845.56713
5128,3717.68218831689,0.0,2845.56713
5129,2428.128803193044,0.0,2845.56713
5130,233.96334193754365,0.0,2845.56713
5131,0.0,0.0,2845.56713
5132,0.0,0.0,2845.56713
5133,0.0,0.0,2845.56713
5134,0.0,0.0,2845.56713
5135,0.0,0.0,2845.56713
5136,0.0,0.0,2845.56713
5137,0.0,0.0,2845.56713
5138,0.0,0.0,2845.56713
5139,0.0,0.0,2845.56713
5140,0.0,0.0,2845.56713
5141,0.0,0.0,2845.56713
5142,0.0,0.0,2845.56713
5143,0.0,0.0,2845.56713
5144,0.0,2909.3054394332844,2845.56713
5145,0.0,6142.8124349677055,2845.56713
5146,0.0,8452.460288920862,2845.56713
5147,0.0,10165.449113936123,2845.56713
5148,0.0,10935.331731920507,2845.56713
5149,0.0,10819.849339222848,2845.56713
5150,0.0,10473.402161129876,2845.56713
5151,7920.612277670087,435.6126840027282,2845.56713
5152,5969.588845921218,0.0,2845.56713
5153,2620.5994576891394,0.0,2845.56713
5154,638.151716379346,0.0,2845.56713
5155,0.0,0.0,2845.56713
5156,0.0,0.0,2845.56713
5157,0.0,0.0,2845.56713
5158,0.0,0.0,2845.56713
5159,0.0,0.0,2845.56713
5160,0.0,0.0,2845.56713
5161,0.0,0.0,2845.56713
